SYMBOL,change_07022026,change_07022026_x,change_07022026_y,change_10022026,change_07022026_x.1,change_07022026_y.2,change_09022026_x,change_07022026_y.1,change_27012026_x,change_27012026_y
AAKASH,0.25380710659899064,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906,0.2538071065989906
AAREYDRUGS,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902,4.944300320463902
AARON,0.36783686112544733,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473,0.3678368611254473
AARTECH,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043,-2.464714556562043
AARTIDRUGS,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965,-1.503859462336965
AARTIIND,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564,1.8328763169288564
AARTIPHARM,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574,1.1247780043412574
AARTISURF,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215,-6.6382880809940215
AARVI,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197,-2.320032908268197
AAVAS,1.1416461580530521,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052,1.141646158053052
